"Genre","Longform Infographic","Dynamic Slideshow","Multimedia Visual Experience","Communicating Narrative and Explaining Data","Textual Narrative","Audio Narration","Labeling","Text Annotations on Visualizations","Tooltips","Element Highlighting","""Real-time"" Extension","Linking Separated Story Elements","Interaction","Color","Animation","Providing Context and Navigation","Next/Previous Buttons","Scrollytelling","Basic Scrolling","Breadcrumbs","Section Header Buttons","Menu Selection","Timeline","Geographic Map","Providing Controlled Exploration","Dynamic Queries","Embedded E.V.","Separate E.V.","Visual Encoding of Space-Time","Map-Independent Time Visualization","Multiple Coordinated Views","Animation or Slideshow","Layer Superimposition","Layer Juxtaposition","Title","Year","Source","Theme","Authors","Link"
"1","1","","","1","1","","1","1","","","","","","","","1","","","1","","","","","","","","","","1","1","","","","","There Has Been an Increase in Other Causes of Deaths, Not Just Coronavirus","2020","NYT","Society & Health","Denise Lu","https://www.nytimes.com/interactive/2020/06/01/us/coronavirus-deaths-new-york-new-jersey.html"
"1","1","","","1","1","","1","1","","","","1","","1","1","1","","1","","","","","","","","","","","1","","","1","1","","How the Virus Won","2020","NYT","Society & Health","Derek Watkins, Josh Holder, James Glanz, Weiyi Cai, Benedict Carey and Jeremy White","https://www.nytimes.com/interactive/2020/us/coronavirus-spread.html"
"1","1","","","1","1","","1","","","","1","","","","","1","","","1","","","","","","1","","","1","1","1","","","","","Protesters Weigh Virus Risks on Crowded Streets","2020","NYT","Society & Health","Ian Austen, Anne Barnard, Brooks Barnes, Hannah Beech, Julie Bosman, Graham Bowley, Alan Burdick, Stephen Castle, Christopher Clarey, Michael Cooper, Maria Cramer, Nicholas Fandos, Christopher Flavelle, Luis Ferré Sadurní, Jacey Fortin, Trip Gabriel, David Gonzalez, James Gorman, Amy Harmon, Anemona Hartocollis, Mike Ives, Julia Jacobs, Annie Karni, Patrick Kingsley, Ruth Maclean, Jacob Meschke, Raphael Minder, Andy Newman, Adam Nossiter, Richard C. Paddock, Azi Paybarah, Eduardo Porter, Roni Caryn Rabin, Alan Rappeport, Dagny Salas, Jeanna Smialek, Mitch Smith, Kaly Soto, Matina Stevis-Gridneff, Vivian Wang, Elizabeth Williamson, Devin Yalkin, Elaine Yu and Karen Zraick","https://www.nytimes.com/2020/06/02/world/live-coronavirus.html"
"1","1","","","1","1","","1","","1","1","","1","1","1","","1","","","1","","1","","","","1","1","1","","1","1","1","1","","","Corona-Zahlen in Deutschland","2020","Zeit online","Society & Health","Jakob Bauer, Paul Blickle, Christian Endt, René Engmann, Elena Erdmann, Carla Grefe-Huge, Moritz Klack, Matthias Kreienbrink, Andreas Loos, Valentin Peter, Christopher Pietsch, David Schach, Julian Stahnke, Julius Tröger and Sascha Venohr","https://www.zeit.de/wissen/aktuelle-corona-zahlen-karte-deutschland-landkreise"
"1","1","","","1","1","","1","1","","","","1","","1","1","1","","1","","","","","","","","","","","1","","","1","1","","How the Virus Got Out","2020","NYT","Society & Health","Jin Wu, Weiyi Cai, Derek Watkins and James Glanz","https://www.nytimes.com/interactive/2020/03/22/world/coronavirus-spread.html?searchResultPosition=1"
"1","1","","","1","1","","1","","","1","","1","","1","1","1","","","1","","","","","","","1","","","1","1","","1","","","See How the Coronavirus Death Toll Grew Across the U.S.","2020","NYT","Society & Health","Lazaro Gamio and Karen Yourish","https://www.nytimes.com/interactive/2020/04/06/us/coronavirus-deaths-united-states.html"
"1","1","","","1","1","","1","","","","","1","","1","","1","","","1","","","","","","","","","","1","","","","","1","America’s cautious comeback","2020","Reuters","Society & Health","Reade Levinson and Chris Canipe","https://graphics.reuters.com/HEALTH-CORONAVIRUS/USA-TRENDS/jznpnbdojpl/index.html"
"1","","","1","1","1","1","1","1","","","","1","","1","","1","","","1","","","","","1","","","","","1","","1","","","","A deadly ‘checkerboard’: Covid-19’s new surge across rural America","2020","Washington Post","Society & Health","Reis Thebault and Abigail Hauslohner","https://www.washingtonpost.com/nation/2020/05/24/coronavirus-rural-america-outbreaks/"
"1","1","","","1","1","","1","","","","","1","","1","","1","","1","1","","","","","","","","","","1","1","","","","1","13,000 Missing Flights: The Global Consequences of the Coronavirus","2020","NYT","Society & Health","Rich Harris, Blacki Migliozzi and Niraj Chokshi","https://www.nytimes.com/interactive/2020/02/21/business/coronavirus-airline-travel.html"
"1","1","","","1","1","","1","","","1","","1","","1","1","1","","1","1","1","","","","","","","","","1","","","1","1","","How coronavirus spread across the globe - visualised","2020","The Guardian","Society & Health","Seán Clarke, Antonio Voce, Pablo Gutiérrez and Frank Hulley-Jones","https://www.theguardian.com/world/ng-interactive/2020/apr/09/how-coronavirus-spread-across-the-globe-visualised"
"1","","","1","1","1","","1","1","","1","","","","","","1","","1","","","","","","","","","","","1","","","","1","","Mass cremations, day and night","2021","Reuters","Society & Health","Alasdair Pal, Rupam Jain, Sumit Khanna and Rajendra Jadhav","https://graphics.reuters.com/HEALTH-INDIA/CORONAVIRUS-DEATHS/qzjvqrqaqpx/index.html"
"1","1","","","1","1","","","1","1","1","","1","","1","","1","","1","","","","","","","","","","","1","","","1","1","","‘Cultural genocide’: the shameful history of Canada’s residential schools – mapped","2021","The Guardian","Society & Health","Antonio Voce, Leyland Cecco and Chris Michael","https://www.theguardian.com/world/ng-interactive/2021/sep/06/canada-residential-schools-indigenous-children-cultural-genocide-map"
"1","1","","","1","1","","1","","","","","","","","","1","","","1","","","","","","","","","","1","","","","1","","Stimulus payments will cover seven months of rent for some, less than one for others","2021","Washington Post","Society & Health","Ashlyn Still , N. Kirkpatrick and Tim Meko","https://www.washingtonpost.com/business/2021/03/11/latest-stimulus-payments-cover-months-rent-some-places-less-than-month-others/?itid=ap_ashlynstill"
"1","1","","","1","1","","1","","","","","1","","1","","1","","","1","","","","","1","","","","","1","1","","","","","Where the Racial Makeup of the U.S. Shifted in the Last Decade","2021","NYT","Society & Health","Denise Lu, Charlie Smart and Lazaro Gamio","https://www.nytimes.com/interactive/2021/08/12/us/2020-census-race-ethnicity.html"
"1","1","","","1","1","","1","","1","","","1","1","1","","1","","","1","","","","","","1","1","","","1","","","","1","","DeJoy’s USPS slowdown plan will delay the mail. What’s it mean for your Zip code?","2021","Washington Post","Society & Health","Jacob Bogage and Kevin Schaul","https://www.washingtonpost.com/business/interactive/2021/dejoy-usps-delays-by-zip-code-map/"
"1","1","","","1","1","","1","1","","1","","1","","1","","1","","1","1","","","","","","","","","","1","1","","","","","Charging Ahead","2021","National Geographic","Society & Health","Jason Treat, Eve Conant, Matthew W. Chwastyk, Kelsey Nowakowski","https://www.nationalgeographic.com/magazine/graphics/how-electric-cars-will-dominate-global-sales-within-20-years-feature"
"1","1","","","1","1","","1","1","","1","","1","","1","","1","","1","1","","","","","1","","","","","1","","","1","1","","Variant of concern","2021","Reuters","Society & Health","Jitesh Chowdhury,  Simon Scarr,  Andrew MacAskill and Andrew R.C. Marshall","https://graphics.reuters.com/HEALTH-CORONAVIRUS/UK-VARIANT/ygdpzgblxvw/"
"1","1","","","1","1","","1","","","","","1","1","1","","1","","1","","","","","","","1","1","1","","1","1","1","","","","How the racial makeup of where you live has changed since 1990","2021","Washington Post","Society & Health","Kate Rabinowitz, Leslie Shapiro, Hannah Dormido and Ted Mellnik","https://www.washingtonpost.com/nation/interactive/2021/racial-makeup-census-diversity/?geoid=42101009801"
"1","1","","","1","1","","1","1","","","","1","","1","","1","","","1","","","","","","","","","","1","1","","","","","Europe’s COVID-19 divide","2021","Reuters","Society & Health","Michael Ovaska and Samuel Granados","https://graphics.reuters.com/HEALTH-CORONAVIRUS/DEATHS/jznvnmanrpl/"
"1","","","1","1","1","1","1","","","","","1","","1","1","1","","1","","","1","","","","","","","","1","","1","1","","","Sorrow and stamina, defiance and despair. It’s been a year.","2021","Washington Post","Society & Health","Reis Thebault,  Tim Meko and  Junne Alcantara","https://www.washingtonpost.com/nation/interactive/2021/coronavirus-timeline/"
"1","1","","","1","1","","1","1","1","1","","1","","1","","1","","","1","","","","","","","","","","1","","","","","1","Inside the Diverse and Growing Asian Population in the U.S.","2021","NYT","Society & Health","Robert Gebeloff, Denise Lu and Miriam Jordan","https://www.nytimes.com/interactive/2021/08/21/us/asians-census-us.html"
